Feature,Importance
H3K56ac,0.0011
PBX3,0.0011
PAX8,0.0011
CEBPD,0.0011
NR2F6,0.0011
CTCFL,0.0011
SMARCE1,0.0011
ZNF169,0.0011
MEF2A,0.0011
MBD2,0.0011
E2F4,0.0011
GLI2,0.0011
MITF,0.001
EP400,0.001
GATA1,0.001
KLF17,0.001
ETS1,0.001
IRF5,0.001
IRF3,0.001
E2F5,0.001
ZEB1,0.001
ZNF610,0.001
H2BK12ac,0.001
SAP30,0.001
FOXA3,0.001
TFAP4,0.001
SOX13,0.001
TCF7L2,0.001
FOXM1,0.001
ZNF518A,0.0009
HDAC2,0.0009
TAF7,0.0009
IRF2,0.0009
MLLT1,0.0009
DPF2,0.0009
CSDE1,0.0009
ZNF558,0.0009
PCBP1,0.0009
E2F1,0.0009
ZNF781,0.0009
ZNF652,0.0009
MIER2,0.0009
KLF1,0.0009
SMAD4_isoform1,0.0009
ZBTB21,0.0009
H3K14ac,0.0009
MTA3,0.0009
CBFA2T2,0.0009
PRDM12,0.0009
RERE,0.0009
RCOR2,0.0009
NONO,0.0008
WRNIP1,0.0008
HOMEZ,0.0008
H3K18ac,0.0008
RUNX3,0.0008
PML,0.0008
ZNF592,0.0008
ZNF391,0.0007
TCF12,0.0007
HMG20A,0.0007
ZBED1,0.0007
ZNF341,0.0007
TSHZ1,0.0007
NR2F2,0.0007
ZXDB,0.0007
ZHX1,0.0007
MIER3,0.0007
SAP130,0.0007
KLF9,0.0007
RUNX1,0.0007
MYNN,0.0007
MYB,0.0007
H3K23ac,0.0006
STAT1,0.0006
TARDBP,0.0006
TEAD4,0.0006
GTF2F1,0.0006
E2F6,0.0006
ZBTB10,0.0006
ZBTB17,0.0006
INSM2,0.0005
KMT2B,0.0005
BCL6_isoform1,0.0005
ATF1,0.0005
CEBPA,0.0005
STAT5A,0.0004
GABPB1,0.0004
